date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:05:32	47116/47116	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Nov%202016%2007:04:57%20GMT	http://templates.thememodern.com/amwal/shop_2.html	C:/Mes%20Sites%20Web/nehemie05/templates.thememodern.com/amwal/shop_2.html	(from http://templates.thememodern.com/amwal/index.html)
13:05:33	38788/38788	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Nov%202016%2007:05:08%20GMT	http://templates.thememodern.com/amwal/single-shop.html	C:/Mes%20Sites%20Web/nehemie05/templates.thememodern.com/amwal/single-shop.html	(from http://templates.thememodern.com/amwal/index.html)
13:05:33	37310/37310	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Nov%202016%2007:04:00%20GMT	http://templates.thememodern.com/amwal/checkout.html	C:/Mes%20Sites%20Web/nehemie05/templates.thememodern.com/amwal/checkout.html	(from http://templates.thememodern.com/amwal/index.html)
13:05:33	53933/53933	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Nov%202016%2007:03:55%20GMT	http://templates.thememodern.com/amwal/cart.html	C:/Mes%20Sites%20Web/nehemie05/templates.thememodern.com/amwal/cart.html	(from http://templates.thememodern.com/amwal/index.html)
13:05:34	25043/25043	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202019%2009:13:51%20GMT	http://templates.thememodern.com/amwal/contact.html	C:/Mes%20Sites%20Web/nehemie05/templates.thememodern.com/amwal/contact.html	(from http://templates.thememodern.com/amwal/index.html)
13:05:34	3208/3208	---M--	200	added ('OK')	image/png	date:Wed,%2014%20Sep%202016%2004:25:58%20GMT	http://templates.thememodern.com/amwal/images/Logo-on-dark.png	C:/Mes%20Sites%20Web/nehemie05/templates.thememodern.com/amwal/images/Logo-on-dark.png	(from http://templates.thememodern.com/amwal/index.html)
13:05:46	92667/92667	---M--	200	added ('OK')	image/jpeg	date:Wed,%2014%20Sep%202016%2004:32:01%20GMT	http://templates.thememodern.com/amwal/images/Slider/home1/1.jpg	C:/Mes%20Sites%20Web/nehemie05/templates.thememodern.com/amwal/images/Slider/home1/1.jpg	(from http://templates.thememodern.com/amwal/index.html)
13:05:49	6119/6119	---M--	200	added ('OK')	image/jpeg	date:Wed,%2014%20Sep%202016%2004:28:59%20GMT	http://templates.thememodern.com/amwal/images/Partner/1.jpg	C:/Mes%20Sites%20Web/nehemie05/templates.thememodern.com/amwal/images/Partner/1.jpg	(from http://templates.thememodern.com/amwal/index.html)
13:05:50	7139/7139	---M--	200	added ('OK')	image/jpeg	date:Wed,%2014%20Sep%202016%2004:29:01%20GMT	http://templates.thememodern.com/amwal/images/Partner/2.jpg	C:/Mes%20Sites%20Web/nehemie05/templates.thememodern.com/amwal/images/Partner/2.jpg	(from http://templates.thememodern.com/amwal/index.html)
13:05:53	8607/8607	---M--	200	added ('OK')	image/jpeg	date:Wed,%2014%20Sep%202016%2004:29:01%20GMT	http://templates.thememodern.com/amwal/images/Partner/3.jpg	C:/Mes%20Sites%20Web/nehemie05/templates.thememodern.com/amwal/images/Partner/3.jpg	(from http://templates.thememodern.com/amwal/index.html)
13:05:54	7139/7139	---M--	200	added ('OK')	image/jpeg	date:Wed,%2014%20Sep%202016%2004:29:02%20GMT	http://templates.thememodern.com/amwal/images/Partner/4.jpg	C:/Mes%20Sites%20Web/nehemie05/templates.thememodern.com/amwal/images/Partner/4.jpg	(from http://templates.thememodern.com/amwal/index.html)
13:05:56	6409/6409	---M--	200	added ('OK')	image/jpeg	date:Wed,%2014%20Sep%202016%2004:29:02%20GMT	http://templates.thememodern.com/amwal/images/Partner/5.jpg	C:/Mes%20Sites%20Web/nehemie05/templates.thememodern.com/amwal/images/Partner/5.jpg	(from http://templates.thememodern.com/amwal/index.html)
13:05:58	7139/7139	---M--	200	added ('OK')	image/jpeg	date:Wed,%2014%20Sep%202016%2004:29:03%20GMT	http://templates.thememodern.com/amwal/images/Partner/6.jpg	C:/Mes%20Sites%20Web/nehemie05/templates.thememodern.com/amwal/images/Partner/6.jpg	(from http://templates.thememodern.com/amwal/index.html)
13:05:59	6119/6119	---M--	200	added ('OK')	image/jpeg	date:Wed,%2014%20Sep%202016%2004:29:04%20GMT	http://templates.thememodern.com/amwal/images/Partner/7.jpg	C:/Mes%20Sites%20Web/nehemie05/templates.thememodern.com/amwal/images/Partner/7.jpg	(from http://templates.thememodern.com/amwal/index.html)
13:06:01	8607/8607	---M--	200	added ('OK')	image/jpeg	date:Wed,%2014%20Sep%202016%2004:29:04%20GMT	http://templates.thememodern.com/amwal/images/Partner/8.jpg	C:/Mes%20Sites%20Web/nehemie05/templates.thememodern.com/amwal/images/Partner/8.jpg	(from http://templates.thememodern.com/amwal/index.html)
13:06:12	239594/239594	---M--	200	added ('OK')	image/jpeg	date:Wed,%2014%20Sep%202016%2004:32:04%20GMT	http://templates.thememodern.com/amwal/images/Slider/home1/3.jpg	C:/Mes%20Sites%20Web/nehemie05/templates.thememodern.com/amwal/images/Slider/home1/3.jpg	(from http://templates.thememodern.com/amwal/index.html)
13:06:24	144643/144643	---M--	200	added ('OK')	image/jpeg	date:Wed,%2014%20Sep%202016%2004:29:09%20GMT	http://templates.thememodern.com/amwal/images/Project/1.jpg	C:/Mes%20Sites%20Web/nehemie05/templates.thememodern.com/amwal/images/Project/1.jpg	(from http://templates.thememodern.com/amwal/index.html)
13:06:46	126392/126392	---M--	200	added ('OK')	image/jpeg	date:Wed,%2014%20Sep%202016%2004:29:15%20GMT	http://templates.thememodern.com/amwal/images/Project/3.jpg	C:/Mes%20Sites%20Web/nehemie05/templates.thememodern.com/amwal/images/Project/3.jpg	(from http://templates.thememodern.com/amwal/index.html)
